customer_id,first_name,last_name,email,phone,city
11,Anaya,sam,arbi.sam20@example.com,+910000158380,Mumbai
12,Kabir,nambi,kabir.nambi19@example.com,+910000150461,Kochi
13,Ishaan,Gupta,ishaan.gupta18@example.com,+910000142542,madurai
14,Reyansh,Nair,reyansh.nair17@example.com,+910000134623,Coimbatore
15,Vihaan,Iyer,vihaan.iyer16@example.com,+910000126704,Pune
16,Arjun,Reddy,arjun.reddy15@example.com,+910000118785,Kolkata
17,Aditya,Patel,aditya.patel14@example.com,+910000110866,Chennai
18,vijay,Verma,vijay.verma13@example.com,+910000102947,Hyderabad
19,surya,kumar,surya.kumar12@example.com,+910000095028,Bengaluru
20,Ira,Bose,ira.bose11@example.com,+910000087109,Delhi
21,Ishaan,Gupta,ishaan.gupta30@example.com,+910000237570,Mumbai
22,Reyansh,Nair,reyansh.nair29@example.com,+910000229651,Kochi
23,Vihaan,Iyer,vihaan.iyer28@example.com,+910000221732,madurai
24,Arjun,Reddy,arjun.reddy27@example.com,+910000213813,Coimbatore
25,Aditya,Patel,aditya.patel26@example.com,+910000205894,Pune
26,vijay,Verma,vijay.verma25@example.com,+910000197975,Kolkata
27,surya,kumar,surya.kumar24@example.com,+910000190056,Chennai
28,Ira,Bose,ira.bose23@example.com,+910000182137,Hyderabad
29,Aadhya,Chopra,aadhya.chopra22@example.com,+910000174218,Bengaluru
30,Diya,Joshi,diya.joshi21@example.com,+910000166299,Delhi
91,Vihaan,Iyer,vihaan.iyer100@example.com,+910000791900,Mumbai
92,Arjun,Reddy,arjun.reddy99@example.com,+910000783981,Kochi
93,Aditya,Patel,aditya.patel98@example.com,+910000776062,madurai
94,vijay,Verma,vijay.verma97@example.com,+910000768143,Coimbatore
95,surya,kumar,surya.kumar96@example.com,+910000760224,Pune
96,Ira,Bose,ira.bose95@example.com,+910000752305,Kolkata
97,Aadhya,Chopra,aadhya.chopra94@example.com,+910000744386,Chennai
98,Diya,Joshi,diya.joshi93@example.com,+910000736467,Hyderabad
99,Anaya,sam,arbi.sam92@example.com,+910000728548,Bengaluru
100,Kabir,nambi,kabir.nambi91@example.com,+910000720629,Delhi
